Datetime;Energy;Month;Day;Hour
2022-01-23;3,669;1;23;15
2022-01-23;3,419;1;23;16
2022-01-23;3,562;1;23;17
2022-01-23;3,55;1;23;18
2022-01-23;3,235;1;23;19
2022-01-23;2,926;1;23;20
2022-01-23;2,292;1;23;21
2022-01-23;2,378;1;23;22
2022-01-23;2,138;1;23;23
2022-01-23;2,357;1;23;24
2022-01-24;1,616;1;24;1
2022-01-24;1,049;1;24;2
2022-01-24;0,919;1;24;3
2022-01-24;1,184;1;24;4
2022-01-24;0,936;1;24;5
2022-01-24;1,224;1;24;6
2022-01-24;1,065;1;24;7
2022-01-24;1,272;1;24;8
2022-01-24;1,363;1;24;9
2022-01-24;1,332;1;24;10
2022-01-24;1,361;1;24;11
2022-01-24;1,186;1;24;12
2022-01-24;1,418;1;24;13
2022-01-24;3,816;1;24;14
2022-01-24;3,622;1;24;15
2022-01-24;3,991;1;24;16
2022-01-24;4,305;1;24;17
2022-01-24;3,283;1;24;18
2022-01-24;3,107;1;24;19
2022-01-24;2,606;1;24;20
2022-01-24;2,323;1;24;21
2022-01-24;2,524;1;24;22
2022-01-24;2,263;1;24;23
2022-01-24;3,996;1;24;24
2022-01-25;1,276;1;25;1
2022-01-25;1,084;1;25;2
2022-01-25;0,923;1;25;3
2022-01-25;0,909;1;25;4
2022-01-25;1,037;1;25;5
2022-01-25;0,929;1;25;6
2022-01-25;1,115;1;25;7
2022-01-25;1,041;1;25;8
2022-01-25;1,307;1;25;9
2022-01-25;1,268;1;25;10
2022-01-25;2,088;1;25;11
2022-01-25;2,187;1;25;12
2022-01-25;1,853;1;25;13
2022-01-25;2,18;1;25;14
2022-01-25;2,628;1;25;15
2022-01-25;3,01;1;25;16
2022-01-25;2,305;1;25;17
2022-01-25;2,676;1;25;18
2022-01-25;1,84;1;25;19
2022-01-25;3,172;1;25;20
2022-01-25;3,07;1;25;21
2022-01-25;3,956;1;25;22
2022-01-25;3,942;1;25;23
2022-01-25;3,455;1;25;24
2022-01-26;2,248;1;26;1
2022-01-26;1,749;1;26;2
2022-01-26;1,582;1;26;3
2022-01-26;1,724;1;26;4
2022-01-26;1,737;1;26;5
2022-01-26;1,618;1;26;6
2022-01-26;2,439;1;26;7
2022-01-26;2,009;1;26;8
2022-01-26;2,715;1;26;9
2022-01-26;3,277;1;26;10
2022-01-26;3,002;1;26;11
2022-01-26;3,486;1;26;12
2022-01-26;3,159;1;26;13
2022-01-26;3,578;1;26;14
2022-01-26;2,922;1;26;15
2022-01-26;2,768;1;26;16
2022-01-26;2,634;1;26;17
2022-01-26;1,937;1;26;18
2022-01-26;1,874;1;26;19
2022-01-26;1,769;1;26;20
2022-01-26;2,921;1;26;21
2022-01-26;3,329;1;26;22
2022-01-26;3,43;1;26;23
2022-01-26;2,818;1;26;24
2022-01-27;2,504;1;27;1
2022-01-27;1,792;1;27;2
2022-01-27;0,83;1;27;3
2022-01-27;1,102;1;27;4
2022-01-27;0,919;1;27;5
2022-01-27;0,838;1;27;6
2022-01-27;1,249;1;27;7
2022-01-27;0,923;1;27;8
2022-01-27;1,186;1;27;9
2022-01-27;1,383;1;27;10
2022-01-27;1,165;1;27;11
2022-01-27;1,141;1;27;12
2022-01-27;1,968;1;27;13
2022-01-27;2,01;1;27;14
2022-01-27;2,588;1;27;15
2022-01-27;2,916;1;27;16
2022-01-27;2,366;1;27;17
2022-01-27;2,051;1;27;18
2022-01-27;2,044;1;27;19
2022-01-27;2,091;1;27;20
2022-01-27;2,119;1;27;21
2022-01-27;4,088;1;27;22
2022-01-27;3,56;1;27;23
