CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;17/01/2023;15;0,309;R
ES0021000003073076YC;17/01/2023;16;0,375;R
ES0021000003073076YC;17/01/2023;17;0,458;R
ES0021000003073076YC;17/01/2023;18;0,415;R
ES0021000003073076YC;17/01/2023;19;0,571;R
ES0021000003073076YC;17/01/2023;20;0,616;R
ES0021000003073076YC;17/01/2023;21;0,613;R
ES0021000003073076YC;17/01/2023;22;1,440;R
ES0021000003073076YC;17/01/2023;23;1,256;R
ES0021000003073076YC;17/01/2023;24;0,651;R
ES0021000003073076YC;18/01/2023;1;0,468;R
ES0021000003073076YC;18/01/2023;2;2,006;R
ES0021000003073076YC;18/01/2023;3;2,610;R
ES0021000003073076YC;18/01/2023;4;2,647;R
ES0021000003073076YC;18/01/2023;5;2,469;R
ES0021000003073076YC;18/01/2023;6;2,181;R
ES0021000003073076YC;18/01/2023;7;0,491;R
ES0021000003073076YC;18/01/2023;8;0,366;R
ES0021000003073076YC;18/01/2023;9;0,326;R
ES0021000003073076YC;18/01/2023;10;0,292;R
ES0021000003073076YC;18/01/2023;11;0,310;R
ES0021000003073076YC;18/01/2023;12;0,398;R
ES0021000003073076YC;18/01/2023;13;0,320;R
ES0021000003073076YC;18/01/2023;14;0,324;R
ES0021000003073076YC;18/01/2023;15;0,412;R
ES0021000003073076YC;18/01/2023;16;1,093;R
ES0021000003073076YC;18/01/2023;17;1,074;R
ES0021000003073076YC;18/01/2023;18;0,813;R
ES0021000003073076YC;18/01/2023;19;0,820;R
ES0021000003073076YC;18/01/2023;20;0,618;R
ES0021000003073076YC;18/01/2023;21;0,936;R
ES0021000003073076YC;18/01/2023;22;2,010;R
ES0021000003073076YC;18/01/2023;23;1,152;R
ES0021000003073076YC;18/01/2023;24;1,091;R
ES0021000003073076YC;19/01/2023;1;0,727;R
ES0021000003073076YC;19/01/2023;2;2,273;R
ES0021000003073076YC;19/01/2023;3;2,598;R
ES0021000003073076YC;19/01/2023;4;2,583;R
ES0021000003073076YC;19/01/2023;5;2,527;R
ES0021000003073076YC;19/01/2023;6;1,280;R
ES0021000003073076YC;19/01/2023;7;1,600;R
ES0021000003073076YC;19/01/2023;8;0,531;R
ES0021000003073076YC;19/01/2023;9;0,516;R
ES0021000003073076YC;19/01/2023;10;0,563;R
ES0021000003073076YC;19/01/2023;11;1,630;R
ES0021000003073076YC;19/01/2023;12;1,380;R
ES0021000003073076YC;19/01/2023;13;0,816;R
ES0021000003073076YC;19/01/2023;14;0,835;R
ES0021000003073076YC;19/01/2023;15;0,438;R
ES0021000003073076YC;19/01/2023;16;1,573;R
ES0021000003073076YC;19/01/2023;17;0,609;R
ES0021000003073076YC;19/01/2023;18;0,976;R
ES0021000003073076YC;19/01/2023;19;0,946;R
ES0021000003073076YC;19/01/2023;20;0,963;R
ES0021000003073076YC;19/01/2023;21;0,887;R
ES0021000003073076YC;19/01/2023;22;1,526;R
ES0021000003073076YC;19/01/2023;23;1,050;R
ES0021000003073076YC;19/01/2023;24;0,466;R
ES0021000003073076YC;20/01/2023;1;0,272;R
ES0021000003073076YC;20/01/2023;2;1,891;R
ES0021000003073076YC;20/01/2023;3;2,514;R
ES0021000003073076YC;20/01/2023;4;2,457;R
ES0021000003073076YC;20/01/2023;5;2,494;R
ES0021000003073076YC;20/01/2023;6;0,493;R
ES0021000003073076YC;20/01/2023;7;1,180;R
ES0021000003073076YC;20/01/2023;8;0,510;R
ES0021000003073076YC;20/01/2023;9;0,517;R
ES0021000003073076YC;20/01/2023;10;0,320;R
ES0021000003073076YC;20/01/2023;11;0,481;R
ES0021000003073076YC;20/01/2023;12;0,294;R
ES0021000003073076YC;20/01/2023;13;0,570;R
ES0021000003073076YC;20/01/2023;14;1,353;R
ES0021000003073076YC;20/01/2023;15;1,286;R
ES0021000003073076YC;20/01/2023;16;0,466;R
ES0021000003073076YC;20/01/2023;17;0,620;R
ES0021000003073076YC;20/01/2023;18;1,081;R
ES0021000003073076YC;20/01/2023;19;1,023;R
ES0021000003073076YC;20/01/2023;20;0,688;R
ES0021000003073076YC;20/01/2023;21;0,613;R
ES0021000003073076YC;20/01/2023;22;0,830;R
ES0021000003073076YC;20/01/2023;23;0,719;R
ES0021000003073076YC;20/01/2023;24;0,710;R
ES0021000003073076YC;21/01/2023;1;0,594;R
ES0021000003073076YC;21/01/2023;2;2,002;R
ES0021000003073076YC;21/01/2023;3;2,562;R
ES0021000003073076YC;21/01/2023;4;2,573;R
ES0021000003073076YC;21/01/2023;5;2,459;R
ES0021000003073076YC;21/01/2023;6;0,572;R
ES0021000003073076YC;21/01/2023;7;0,341;R
ES0021000003073076YC;21/01/2023;8;0,802;R
ES0021000003073076YC;21/01/2023;9;0,558;R
ES0021000003073076YC;21/01/2023;10;0,438;R
ES0021000003073076YC;21/01/2023;11;0,346;R
ES0021000003073076YC;21/01/2023;12;0,353;R
ES0021000003073076YC;21/01/2023;13;0,534;R
